,0,1
10,Allah_Waariyan_resampled.mp3,"[0.79126173, 0.7508762, 0.39941067, 0.5686293, 0.45874485, 0.53555614, 0.47064295, 0.40768442, 0.5772993, 0.49145323, 0.52056193, 0.51148474, 0.4771608, 0.4784573, 0.5104161, 0.48786268, 0.4936004, 0.45018807, 0.4533016, 0.5368032, 0.2504102, 0.29831237, 0.25575146, 0.44391343, 0.50796115, 0.30411232, 0.2885809, 0.25110665, 0.33587432, 0.27447203, 0.3339246, 0.40771112, 0.34352625166334105, 0.3117013735422312, 0.3467715563919028, 0.33232475790594274, 0.28649770226339616, 0.8498810987139118, 0.7501119194993262, 0.5065834661371367, 0.6619040757801211, 0.46130648553852865, 0.528367730430047, 0.5831596974845369, 0.37377197222478686, 0.3831508562108079, 0.2595160331488607, 6621.930394431554, 83.35433467741936]"
11,Baamulaiza_resampled.mp3,"[0.81244344, 0.7485135, 0.42891622, 0.66852784, 0.4200267, 0.49770898, 0.64559275, 0.43085545, 0.4888874, 0.47536618, 0.5431764, 0.5033092, 0.42776754, 0.4570766, 0.5004086, 0.44176993, 0.44239587, 0.36041787, 0.43298993, 0.4268882, 0.47314575, 0.51665777, 0.38474488, 0.41846946, 0.3563918, 0.42617932, 0.3623702, 0.40782675, 0.5532697, 0.4049944, 0.3752522, 0.3674099, 0.22634394514163825, 0.3346333387478743, 0.3568362563768341, 0.32826751352278616, 0.2967544064276936, 0.8483743930546362, 0.395772751041813, 0.49737617179106003, 0.470392275547736, 0.6028226327838618, 0.4527697865239875, 0.4294210652790425, 0.3722477057405457, 0.49239306385712134, 0.3202956984139651, 6120.188473520249, 135.99917763157896]"
12,Baarish_resampled.mp3,"[0.69632715, 0.7275324, 0.4747085, 0.48654646, 0.52920103, 0.5293914, 0.5545294, 0.50084335, 0.5466423, 0.54145163, 0.47403675, 0.5086291, 0.48717618, 0.48771197, 0.5629345, 0.5139824, 0.3810232, 0.4322424, 0.4916275, 0.36622727, 0.21433473, 0.21238543, 0.36235425, 0.27846003, 0.22597516, 0.27939054, 0.29485357, 0.4404017, 0.27690113, 0.37911013, 0.27604032, 0.16205007, 0.29133861671513345, 0.3558372063078632, 0.3349248808044332, 0.37858102610749517, 0.34998283721778173, 0.8426131084296726, 0.35987579028522176, 0.5271192008227933, 0.5284352913003902, 0.5306867306159206, 0.458444416154822, 0.5211090425628528, 0.36158213007535156, 0.3028431286033599, 0.19593427554981088, 7831.933333333333, 129.19921875]"
13,Bahara_resampled.mp3,"[0.7594832, 0.74347943, 0.4508988, 0.6003717, 0.49405414, 0.48147884, 0.568944, 0.46931338, 0.5505269, 0.45205256, 0.42599857, 0.5144927, 0.45048055, 0.38946256, 0.39674383, 0.47028384, 0.4697329, 0.55374336, 0.49900308, 0.55203766, 0.37263343, 0.25865063, 0.29875034, 0.25826952, 0.3800445, 0.47691548, 0.29986852, 0.3796753, 0.28739023, 0.36304387, 0.30707806, 0.2918049, 0.3476202643155702, 0.3543955444010101, 0.3787598648812824, 0.38016949990509524, 0.3763533046344207, 0.8560570620210055, 0.43268848006270083, 0.4449847263566255, 0.46354639377339607, 0.49602260576429474, 0.4776393932394152, 0.52632631608384, 0.41065791796833045, 0.40992547151940173, 0.23281939522315914, 6569.579418344519, 89.10290948275862]"
14,Bekhayali__Arijit_Singh_Version___From__Kabir_Singh___resampled.mp3,"[0.7088441, 0.6858354, 0.47159263, 0.58982503, 0.5764064, 0.5646514, 0.5678676, 0.4890712, 0.52089584, 0.46919712, 0.505658, 0.54629177, 0.56704193, 0.4530658, 0.5639, 0.49836507, 0.509844, 0.49052316, 0.4600992, 0.50504774, 0.3027005, 0.18800192, 0.24352232, 0.20575099, 0.3291834, 0.20703462, 0.227019, 0.27342832, 0.26662856, 0.42973837, 0.26069054, 0.3469242, 0.28640703819370855, 0.36912226089982736, 0.3624883210999908, 0.3555749538023202, 0.3909386982833851, 0.84120060578953, 0.40593832329419616, 0.5368656131129892, 0.4585893051742698, 0.5340808089989943, 0.4838067371507947, 0.5321111913279063, 0.3628844544048271, 0.35865100212324796, 0.20114955801559786, 7732.825072886298, 57.421875]"
15,Bekhayali__From__Kabir_Singh___resampled.mp3,"[0.7048263, 0.7423966, 0.43955004, 0.6395924, 0.49420178, 0.5469385, 0.59920245, 0.4600203, 0.5077547, 0.48240358, 0.45389658, 0.5048565, 0.5283975, 0.47720024, 0.5381753, 0.47369272, 0.5510682, 0.47940475, 0.5096441, 0.4542299, 0.33690506, 0.2025573, 0.26064888, 0.22749895, 0.36223602, 0.22832866, 0.23928654, 0.29034904, 0.28363284, 0.44246832, 0.28376433, 0.3937153, 0.2731517368173331, 0.3790898690183711, 0.3782164932146249, 0.33695326551154736, 0.3526806081613556, 0.8474781649484083, 0.6939159734526187, 0.5372224378670654, 0.4981485439640195, 0.5120186190051498, 0.5352074844717951, 0.5332969549138835, 0.3746303060878626, 0.3875616912425715, 0.24487086586922197, 7724.005847953216, 57.421875]"
16,Bikhre_resampled.mp3,"[0.67187977, 0.69222784, 0.61858743, 0.5928415, 0.5582139, 0.43091252, 0.5039472, 0.4867849, 0.52011096, 0.47911462, 0.47771743, 0.5370869, 0.53172415, 0.41081795, 0.5103527, 0.4905303, 0.44311178, 0.37239966, 0.53573984, 0.53964674, 0.31700373, 0.20424043, 0.27324304, 0.22415057, 0.305082, 0.1927187, 0.1344009, 0.1821838, 0.25186035, 0.36544532, 0.2641288, 0.37018904, 0.30941044993342426, 0.37877565050107637, 0.35488626092779924, 0.3026874203079288, 0.36908779370650846, 0.7926136580915571, 0.7325327664360315, 0.6371432775415365, 0.5269059625090144, 0.4982917152726092, 0.5771975697077674, 0.5182730217503613, 0.3601378631907518, 0.2436406886700933, 0.12967354476846257, 3630.0553745928337, 107.666015625]"
17,Bol_Na_Halke_Halke_resampled.mp3,"[0.6755288, 0.6359456, 0.4455178, 0.6229204, 0.46698445, 0.56680745, 0.5513812, 0.4893164, 0.5621458, 0.4511795, 0.43072945, 0.44273052, 0.47671112, 0.4573058, 0.49939454, 0.5199439, 0.5105029, 0.45568693, 0.5288967, 0.49473605, 0.27137536, 0.3022762, 0.31029493, 0.29050747, 0.4512898, 0.26373178, 0.31081727, 0.2993426, 0.2954406, 0.39325276, 0.324077, 0.39250624, 0.28029544555715474, 0.34758437384790797, 0.4035928798624951, 0.3396429767510531, 0.3623738783567793, 0.7961619561509203, 0.37191686930195594, 0.40039153752023954, 0.5057768246755591, 0.504205944729442, 0.4934157812528747, 0.5497017230216921, 0.3999850541556087, 0.3221695372886593, 0.21644532886468368, 6437.376391982182, 89.10290948275862]"
18,Brown_Munde_resampled.mp3,"[0.64607984, 0.66039556, 0.5606108, 0.53146964, 0.5732312, 0.51346856, 0.52728635, 0.47875994, 0.48437345, 0.5459526, 0.5066394, 0.48122963, 0.5322696, 0.47091848, 0.530811, 0.5156824, 0.53711927, 0.4971814, 0.5805855, 0.50247407, 0.30272377, 0.3593668, 0.29641095, 0.44468018, 0.31665814, 0.25522816, 0.25700843, 0.33119196, 0.5946922, 0.39895386, 0.42714453, 0.3835124, 0.32189267744660965, 0.36598648422015434, 0.39966759868598173, 0.3579354982823529, 0.3844045836030337, 0.812033637463427, 0.2973247406544255, 0.44968594229944475, 0.4572355561342491, 0.4256491096707641, 0.5268943050302483, 0.5318438653949737, 0.3443166873699821, 0.3763994578533714, 0.1985064677901584, 4942.543080939948, 99.38401442307692]"
19,Bulleya_resampled.mp3,"[0.7030475, 0.6706944, 0.40919435, 0.58225656, 0.51995754, 0.49194646, 0.53991556, 0.49001846, 0.524929, 0.4807817, 0.4245284, 0.54687786, 0.54791987, 0.49420044, 0.5128307, 0.42990786, 0.47513425, 0.50578344, 0.5422432, 0.47017118, 0.2910364, 0.34342244, 0.27499032, 0.4174684, 0.49791816, 0.33700442, 0.34669867, 0.2483899, 0.34145957, 0.24931741, 0.30770856, 0.44516015, 0.32955007753247095, 0.2741324583332524, 0.40022577212488847, 0.29860248143005047, 0.3475038279805775, 0.820267683323944, 0.6707842528119925, 0.5372230818723651, 0.5453129194784381, 0.558031724494523, 0.5439063286828991, 0.5379847573796048, 0.45822718133173546, 0.2752720339125651, 0.22789321617328817, 7688.470383275261, 95.703125]"
20,Chaand_Raaton_Meinn_2_0_resampled.mp3,"[0.65091324, 0.6216814, 0.5139847, 0.46789825, 0.5259848, 0.54296833, 0.50691956, 0.4365549, 0.561968, 0.48899314, 0.5410345, 0.5442166, 0.545341, 0.53101575, 0.43613926, 0.5412313, 0.56547505, 0.45921937, 0.5679174, 0.40300965, 0.31655303, 0.28762424, 0.30529886, 0.3190721, 0.33213526, 0.37156096, 0.3210873, 0.3099627, 0.30362245, 0.3196862, 0.34986746, 0.33136678, 0.4242410966873365, 0.37918806536210686, 0.40413562014523446, 0.3079959686976393, 0.4000773622707068, 0.820814667285975, 0.18701578213417225, 0.4615260047024973, 0.5223816411340614, 0.52570428734928, 0.48602449584483376, 0.48220596121507325, 0.4131095744021714, 0.2851499128214621, 0.22630194898521472, 2849.160606060606, 151.99908088235293]"
21,Chaiyya_Chaiyya_resampled.mp3,"[0.7527132, 0.7088059, 0.40524876, 0.5396276, 0.46332735, 0.51222783, 0.5693341, 0.52427375, 0.47733682, 0.5638348, 0.37047902, 0.51035154, 0.5502295, 0.49725056, 0.4384101, 0.5420724, 0.51721174, 0.49960575, 0.4484012, 0.47639558, 0.27433762, 0.25092763, 0.25392416, 0.25118288, 0.3795703, 0.21729068, 0.25192595, 0.289425, 0.4807247, 0.670961, 0.51290387, 0.44889477, 0.4066750364268796, 0.32733403902793684, 0.4121444630337347, 0.38829317401725927, 0.36105819807628575, 0.7762832017039281, 0.7289833907142876, 0.4957768411753443, 0.5180725580033476, 0.4447234478196854, 0.5379707617646766, 0.5501014301949056, 0.398471210850832, 0.3080336438125912, 0.19795889241081804, 5279.260759493671, 95.703125]"
22,Chal_Wahan_Jaate_Hain__From__Chal_Wahan_Jaate_Hain___resampled.mp3,"[0.6804887, 0.68651164, 0.5174255, 0.6158812, 0.5576151, 0.44675732, 0.5031015, 0.46900243, 0.52225214, 0.49284527, 0.44199705, 0.49652672, 0.4830199, 0.4908411, 0.49443656, 0.506728, 0.49597824, 0.4449929, 0.4332547, 0.51132184, 0.34800476, 0.26193616, 0.4128501, 0.2620999, 0.2635431, 0.34207773, 0.26066202, 0.38604417, 0.2496274, 0.3876603, 0.41427904, 0.25135624, 0.31938639468891894, 0.34369998377595, 0.44295725961346777, 0.3586996624246387, 0.3471488846542705, 0.8392486056218531, 0.4235834992005925, 0.46837746286876303, 0.3613923551742353, 0.48911393130193326, 0.538198340132609, 0.5909848385365265, 0.4336303248153162, 0.38650847696314994, 0.21632114873391262, 6547.443786982249, 99.38401442307692]"
23,Char_Baj_Gaye_-_Party_Abhi_Baaki_Hai_resampled.mp3,"[0.69681364, 0.66202646, 0.51823246, 0.6311119, 0.48892772, 0.52990043, 0.5842258, 0.4966679, 0.48646381, 0.5856871, 0.4925765, 0.5069201, 0.52657336, 0.5758732, 0.49224558, 0.47502315, 0.5126347, 0.47144622, 0.44299507, 0.5024936, 0.36269218, 0.37025663, 0.473807, 0.5990388, 0.45406187, 0.41305766, 0.35640782, 0.34602624, 0.38221052, 0.42292106, 0.5506271, 0.45289132, 0.33214474620629564, 0.36407174598306746, 0.35250728822143634, 0.300963468647085, 0.3776865193064878, 0.8516118170972284, 0.6560211459509768, 0.6246006835193679, 0.620482585219856, 0.47475328826812846, 0.44284118244104886, 0.5976506688655067, 0.5159824141856534, 0.4659530154844838, 0.27697425785719926, 4591.751184834123, 117.45383522727273]"
24,Chunari_Mein_Daag_resampled.mp3,"[0.68230164, 0.6523133, 0.4860682, 0.5782436, 0.5646293, 0.56133, 0.46321404, 0.48971915, 0.53868043, 0.5177121, 0.48064697, 0.51004106, 0.4491058, 0.46301484, 0.51040506, 0.47337055, 0.4583717, 0.4749766, 0.5078582, 0.42502394, 0.3804765, 0.4868441, 0.4672048, 0.31888318, 0.29116637, 0.33980685, 0.4498671, 0.29882807, 0.31113175, 0.29978833, 0.35310754, 0.51148206, 0.2922058533605611, 0.34160055854551763, 0.41522142047111615, 0.29526712625077084, 0.34686308166788443, 0.8132513683162754, 0.2102264577848173, 0.49799487566501593, 0.648245697767847, 0.49697845873871943, 0.47405941392145934, 0.5308389954404917, 0.5379405823091753, 0.3597455178144982, 0.20097650465427644, 4286.935010482181, 143.5546875]"
25,Dance_Basanti__From__Ungli___resampled.mp3,"[0.71018845, 0.6675021, 0.4324161, 0.6251491, 0.55258846, 0.4352879, 0.6564656, 0.4222216, 0.5481274, 0.53632885, 0.46000275, 0.52963775, 0.44285312, 0.49901083, 0.46275914, 0.47459605, 0.6290857, 0.37978548, 0.51080626, 0.5424547, 0.4424724, 0.6159721, 0.40140828, 0.39115927, 0.34042463, 0.26616368, 0.2936571, 0.29918134, 0.43356282, 0.31706712, 0.3326153, 0.41210103, 0.30858440666718406, 0.37596749468179996, 0.34153583289581657, 0.31349774117707474, 0.32377324444090877, 0.8268734778588709, 0.6371492266547747, 0.6008656898090514, 0.7211686516893316, 0.6017606224224296, 0.6034767690277669, 0.36425507306254923, 0.5219906814169781, 0.37430724935029597, 0.26483600366616405, 4777.943243243243, 103.359375]"
26,Dardd_E_Dil_Ki_Dawaa_2_0_resampled.mp3,"[0.67428166, 0.6964482, 0.50709295, 0.6066896, 0.55023795, 0.5394786, 0.4460138, 0.55156845, 0.5319648, 0.4643251, 0.4894906, 0.517066, 0.4841091, 0.5200193, 0.43865114, 0.43812978, 0.5175518, 0.5512418, 0.45689258, 0.4370818, 0.260532, 0.27568898, 0.30733186, 0.22156282, 0.26219928, 0.26317352, 0.37658086, 0.25944188, 0.2738589, 0.31281236, 0.35691273, 0.4146515, 0.2910538552196417, 0.31977071793682077, 0.41210978774205825, 0.43462429634312993, 0.42063381701231667, 0.7960350545291043, 0.6928508824538293, 0.5686941301820915, 0.5452448801835741, 0.40398246468667776, 0.5044806189409754, 0.4873973017056028, 0.47216086038052213, 0.32809024321121627, 0.23930443105769963, 5566.3594164456235, 172.265625]"
27,Dekhte_Dekhte_resampled.mp3,"[0.7285997, 0.68332666, 0.44941896, 0.5420627, 0.5598086, 0.49143243, 0.5733193, 0.48419628, 0.5275896, 0.43209577, 0.47598705, 0.56156206, 0.47624913, 0.49454919, 0.48675567, 0.6395599, 0.48263603, 0.4202168, 0.5325819, 0.4053598, 0.3290176, 0.22433361, 0.29361755, 0.2494528, 0.40422577, 0.27207872, 0.2632017, 0.2997756, 0.27559015, 0.40016356, 0.28307706, 0.34508127, 0.32658821405832034, 0.38560397514095934, 0.3662518225704159, 0.413191465979769, 0.35237254915552685, 0.8312203319389961, 0.39746097550057413, 0.3926545408799635, 0.5332187448565924, 0.4832286546004706, 0.5034478232446479, 0.5709720416804223, 0.37941003008242014, 0.4037220600423425, 0.24161676107028732, 5428.453795379538, 143.5546875]"
28,Dekh_Lena_resampled.mp3,"[0.7408281, 0.7368332, 0.43840417, 0.5794051, 0.47467718, 0.49542987, 0.57235676, 0.52375036, 0.54107505, 0.48238796, 0.42835516, 0.53645283, 0.5002382, 0.363841, 0.4827411, 0.5179706, 0.5766092, 0.49709246, 0.5228701, 0.48503855, 0.45640397, 0.22887623, 0.33867425, 0.22531943, 0.29347312, 0.18319957, 0.18733287, 0.28732914, 0.16051657, 0.1880298, 0.1484756, 0.31019345, 0.24575114486450111, 0.37796573583513593, 0.43135724144478327, 0.36716225331891916, 0.37316462322114874, 0.8437149189904312, 0.40002754254260253, 0.4474917982682587, 0.547126975365978, 0.48251268202324216, 0.48549265881366005, 0.5038107580687795, 0.38165846832995276, 0.35226491327184006, 0.26633168531591384, 5913.305714285714, 75.99954044117646]"
29,Dillagi_resampled.mp3,"[0.7459854, 0.69869834, 0.41957635, 0.531552, 0.46963066, 0.49198878, 0.54026395, 0.42991087, 0.5213055, 0.4848782, 0.4796743, 0.4809873, 0.5374658, 0.4927729, 0.47409886, 0.4187067, 0.49829593, 0.5166855, 0.40991077, 0.5172888, 0.4229047, 0.2804558, 0.34696886, 0.32633984, 0.23013891, 0.28024137, 0.28029883, 0.4476607, 0.36711195, 0.3197882, 0.33318216, 0.30390725, 0.318585847135718, 0.3639219281423187, 0.4268103433236077, 0.3626430229204025, 0.39323744190181387, 0.84868218727147, 0.4009438048826815, 0.46857325616112916, 0.4799547670723404, 0.5412419899892795, 0.5575832083487003, 0.5397072904734534, 0.3635081363561055, 0.4168434374749534, 0.2251497901336096, 6244.0207100591715, 69.83741554054055]"
30,Dil_Bechara_resampled.mp3,"[0.6199869, 0.6227026, 0.55828226, 0.5574425, 0.515309, 0.5183106, 0.5087034, 0.538128, 0.4668801, 0.55094886, 0.5215311, 0.4626897, 0.53656054, 0.44991845, 0.41888267, 0.42296255, 0.524485, 0.5375077, 0.5182754, 0.45170763, 0.31976318, 0.284247, 0.34978312, 0.27921253, 0.33050126, 0.37463477, 0.33728245, 0.43094766, 0.42656472, 0.4974747, 0.44328287, 0.33425564, 0.3343671578500229, 0.38215692859644107, 0.3817592735536049, 0.37566895830473274, 0.33848424874567135, 0.8217841375156414, 0.6951805506740475, 0.3945289679357619, 0.3397278363682021, 0.5132152047636797, 0.4190858705559906, 0.5384254292657642, 0.32768806830828145, 0.23298854560419627, 0.19924965040248616, 3403.9928315412185, 107.666015625]"
31,Dil_Dooba_resampled.mp3,"[0.7764045, 0.6728165, 0.4043518, 0.5126269, 0.46572888, 0.61587924, 0.62063783, 0.41823065, 0.5323427, 0.5884799, 0.5111133, 0.53992474, 0.4019362, 0.4728199, 0.51886827, 0.6119847, 0.46708176, 0.4571593, 0.41620156, 0.5318847, 0.3852026, 0.3338005, 0.48673967, 0.32688951, 0.29764357, 0.34568867, 0.34874547, 0.4264091, 0.31177565, 0.41223878, 0.39927676, 0.3585675, 0.2752263037603098, 0.2878816852273597, 0.31581601325816305, 0.3244432578772501, 0.37194147720971943, 0.8701409814583803, 0.6803552938341447, 0.4396165545960668, 0.3214077144670936, 0.45897468604687786, 0.532227354204549, 0.5353436993978421, 0.5817077617155957, 0.5122499313802847, 0.3810097085497248, 4618.634877384196, 103.359375]"
32,Dil_Ibaadat_resampled.mp3,"[0.7798675, 0.74564, 0.4524993, 0.54356635, 0.5307233, 0.51268446, 0.5762955, 0.4804191, 0.46195507, 0.48432192, 0.46021605, 0.5579505, 0.5151735, 0.45408586, 0.47477695, 0.5066538, 0.51033074, 0.5350489, 0.42729768, 0.49381775, 0.3204593, 0.28011793, 0.4865463, 0.26602474, 0.35963944, 0.34486318, 0.21666561, 0.29442197, 0.25957143, 0.43130225, 0.31128725, 0.24988818, 0.2779654802718983, 0.3555543034827663, 0.3615416339140919, 0.3788194648043994, 0.3599450623501468, 0.8432289272073608, 0.7108859693758552, 0.503512075659429, 0.4890449459661885, 0.5998860809495256, 0.600629477524935, 0.5938109411541838, 0.3769518788031129, 0.4161996947816754, 0.2531746266186447, 6515.965608465608, 75.99954044117646]"
